Date,Kasus baru,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus)
3/2/2020,2,0,2,2,2,100.00%,0,0,0.00%,0,0,0,0.00%
3/3/2020,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%
3/4/2020,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%
3/5/2020,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%
3/6/2020,2,0,2,4,4,100.00%,0,0,0.00%,,0,0,0.00%
3/7/2020,0,0,0,4,4,100.00%,0,0,0.00%,,0,0,0.00%
3/8/2020,2,1,1,6,6,100.00%,0,0,0.00%,,0,0,0.00%
3/9/2020,13,7,6,19,19,100.00%,0,0,0.00%,,0,0,0.00%
3/10/2020,8,5,3,27,27,100.00%,0,0,0.00%,,0,0,0.00%
3/12/2020,0,0,0,34,27,79.41%,1,3,8.82%,42.86%,2,4,11.76%
3/13/2020,35,,,69,60,86.96%,2,5,7.25%,55.56%,0,4,5.80%
3/14/2020,27,,,96,83,86.46%,3,8,8.33%,61.54%,1,5,5.21%
3/15/2020,21,,,117,104,88.89%,0,8,6.84%,61.54%,0,5,4.27%
3/16/2020,17,,,134,121,90.30%,0,8,5.97%,61.54%,0,5,3.73%
3/17/2020,38,,,172,156,90.70%,1,9,5.23%,56.25%,2,7,4.07%
3/18/2020,55,,,227,197,86.78%,2,11,4.85%,36.67%,12,19,8.37%
3/19/2020,82,,,309,269,87.06%,4,15,4.85%,37.50%,6,25,8.09%
3/20/2020,60,,,369,321,86.99%,1,16,4.34%,33.33%,7,32,8.67%
3/21/2020,81,,,450,392,87.11%,4,20,4.44%,34.48%,6,38,8.44%
3/22/2020,64,,,514,437,85.02%,9,29,5.64%,37.66%,10,48,9.34%
3/23/2020,65,,,579,500,86.36%,1,30,5.18%,37.97%,1,49,8.46%
3/24/2020,106,,,685,600,87.59%,0,30,4.38%,35.29%,6,55,8.03%
3/25/2020,105,,,790,701,88.73%,1,31,3.92%,34.83%,3,58,7.34%
3/26/2020,103,,,893,780,87.35%,4,35,3.92%,30.97%,20,78,8.73%
3/27/2020,153,,,"1,046",913,87.28%,11,46,4.40%,34.59%,9,87,8.32%
3/28/2020,109,,,"1,155",994,86.06%,13,59,5.11%,36.65%,15,102,8.83%
3/29/2020,130,,,"1,285","1,107",86.15%,5,64,4.98%,35.96%,12,114,8.87%
3/30/2020,129,,,"1,414","1,217",86.07%,11,75,5.30%,38.07%,8,122,8.63%
3/31/2020,114,,,"1,528","1,311",85.80%,6,81,5.30%,37.33%,14,136,8.90%
4/1/2020,149,,,"1,677","1,417",84.50%,22,103,6.14%,39.62%,21,157,9.36%
4/2/2020,113,,,"1,790","1,508",84.25%,9,112,6.26%,39.72%,13,170,9.50%
4/3/2020,196,,,"1,986","1,671",84.14%,22,134,6.75%,42.54%,11,181,9.11%
4/4/2020,106,,,"2,092","1,751",83.70%,16,150,7.17%,43.99%,10,191,9.13%
4/5/2020,181,,,"2,273","1,911",84.07%,14,164,7.22%,45.30%,7,198,8.71%
4/6/2020,218,,,"2,491","2,090",83.90%,28,192,7.71%,47.88%,11,209,8.39%
4/7/2020,247,,,"2,738","2,313",84.48%,12,204,7.45%,48.00%,12,221,8.07%
4/8/2020,218,,,"2,956","2,494",84.37%,18,222,7.51%,48.05%,19,240,8.12%
4/9/2020,337,,,"3,293","2,761",83.84%,30,252,7.65%,47.37%,40,280,8.50%
4/10/2020,219,,,"3,512","2,924",83.26%,30,282,8.03%,47.96%,26,306,8.71%
4/11/2020,330,,,"3,842","3,229",84.04%,4,286,7.44%,46.66%,21,327,8.51%
4/12/2020,399,,,"4,241","3,509",82.74%,73,359,8.46%,49.04%,46,373,8.80%
4/13/2020,316,,,"4,557","3,778",82.91%,21,380,8.34%,48.78%,26,399,8.76%
4/14/2020,282,,,"4,839","3,954",81.71%,46,426,8.80%,48.14%,60,459,9.49%
4/15/2020,297,,,"5,136","4,221",82.18%,20,446,8.68%,48.74%,10,469,9.13%
4/16/2020,380,,,"5,516","4,472",81.07%,102,548,9.93%,52.49%,27,496,8.99%
4/17/2020,407,,,"5,923","4,796",80.97%,59,607,10.25%,53.86%,24,520,8.78%
4/18/2020,325,,,"6,248","5,082",81.34%,24,631,10.10%,54.12%,15,535,8.56%
4/19/2020,327,,,"6,575","5,307",80.71%,55,686,10.43%,54.10%,47,582,8.85%
4/20/2020,185,,,"6,760","5,423",80.22%,61,747,11.05%,55.87%,8,590,8.73%
4/21/2020,375,,,"7,135","5,677",79.57%,95,842,11.80%,57.75%,26,616,8.63%
4/22/2020,283,,,"7,418","5,869",79.12%,71,913,12.31%,58.94%,20,636,8.57%
4/23/2020,357,,,"7,775","6,168",79.33%,47,960,12.35%,59.74%,11,647,8.32%
4/24/2020,436,,,"8,211","6,520",79.41%,42,"1,002",12.20%,59.25%,42,689,8.39%
